year,month,day,station_id
2022,5,24,TCVG
2022,1,13,KSFX
2022,7,31,TCLT
2023,10,3,KLIX
2023,5,2,KBUF
2023,10,5,KBBX
2022,8,18,KCLE
2023,11,17,KMQT
2022,11,28,KCRP
2023,3,17,KLWX
2022,8,1,KATX
2022,2,22,KMAF
2023,2,3,KBHX
2023,8,21,KAMX
2022,9,20,TDEN
2022,5,13,KFSX
2022,9,30,RKSG
2022,4,6,KMRX
2023,2,21,KBHX
2023,8,6,KEOX
2022,12,29,KTYX
2023,4,19,TBNA
2022,9,31,KTLH
2023,8,8,KPUX
2022,6,7,PACG
2023,3,24,TSJU
2023,4,9,KHDX
2022,12,25,TRDU
2023,1,13,KSFX
2022,8,24,KFSX
2022,3,28,THOU
2023,1,23,KEWX
2023,6,1,KMLB
2023,3,10,KHNX
2022,2,8,TJFK
2023,1,31,KFFC
2022,8,11,KFWS
2022,9,4,TMSY
2023,4,7,KFSX
2023,9,21,KAMX
2023,12,24,KNQA
2023,1,5,KARX
2023,4,21,TDCA
2022,3,8,KFCX
2023,9,13,KBRO
2022,1,29,KHDX
2022,6,15,TTPA
2023,4,23,KLNX
2022,1,21,KOAX
2022,11,12,TEWR
2023,12,12,KMLB
2022,10,14,KSGF
2023,5,9,KABR
2023,6,30,KSFX
2023,4,24,KHNX
2023,1,3,KLCH
2022,4,4,KEWX
2022,10,27,LPLA
2023,9,21,KFSD
2022,7,13,KRTX
2023,1,25,TCVG
2022,2,16,KPUX
2023,7,5,TSJU
2022,9,24,KIND
2023,9,4,KGLD
2023,3,15,KLCH
2023,6,19,KRGX
2023,12,21,TMDW
2022,7,4,KMPX
2022,3,3,PABC
2022,8,4,KMVX
2023,3,14,KRAX
2023,5,11,KGRR
2023,9,8,KUEX
2023,7,9,KDVN
2023,2,23,KJKL
2023,10,14,KIWX
2023,10,12,TSLC
2022,6,9,KGLD
2022,12,11,KESX
2023,3,3,KBIS
2022,7,8,TBNA
2022,5,9,KDOX
2022,11,18,KVBX
2022,1,21,KTFX
2023,4,31,TPHX
2022,9,28,TJRV
2023,11,27,KCBX
2022,12,21,KEWX
2022,1,14,KNKX
2023,12,10,TSTL
2023,6,4,KMBX
2023,10,16,KPDT
2023,9,10,KSRX
2023,11,12,KLRX
2022,11,25,KCBX
2023,8,9,KFDX
2022,7,1,TDEN
2023,11,27,KCLE
2023,11,11,KGJX
2023,5,5,TDEN
2023,7,10,TDFW
2023,10,21,KSHV
2022,12,18,TDCA
2022,5,15,KHGX
2023,12,20,TDEN
2023,11,9,KCRI
2023,1,24,KAMA
2023,8,22,KHGX
2022,1,6,TCMH
2023,7,29,TCVG
2023,10,15,TLAS
2022,2,28,KEWX
2023,8,8,KLBB
2023,9,28,KTLH
2022,7,23,TJBQ
2023,6,26,KHNX
2022,12,16,KESX
2022,5,27,KEOX
2022,4,8,KBLX
2023,12,15,KLWX
2023,3,13,TJFK
2022,6,12,KLWX
2023,7,21,TPHX
2023,11,17,LPLA
2023,8,22,KDAX
2023,6,15,TIAH
2023,8,16,KRAX
2023,4,8,KDYX
2023,11,12,TSTL
2022,7,1,TPHX
2023,12,22,TIDS
2022,2,20,PAPD
2023,6,4,KCYS
2022,5,27,KMOB
2023,5,28,KBMX
2022,12,20,TSTL
2022,7,13,TMSP
2022,12,24,TLVE
2022,3,31,TICH
2022,9,25,KDYX
2023,3,13,KMRX
2022,2,1,KMXX
2022,11,31,TDEN
2022,8,22,KMQT
2022,2,23,KGWX
2023,11,6,TMEM
2023,2,3,TMKE
2023,12,25,TRDU
2022,1,30,KDIX
2023,10,6,KOTX
2022,3,14,TMDW
2023,5,15,KEVX
2023,12,3,TBWI
2022,3,2,KEPZ
2023,10,6,TMEM
2022,7,11,PHKM
2023,9,8,KBMX
2023,8,4,KLBB
2023,1,21,KAMX
2023,11,8,TMCO
2023,3,17,KEOX
2023,3,3,KARX
2022,5,5,TDFW
2023,3,6,TJFK
2023,9,1,KVWX
2023,9,10,KLSX
2023,7,20,KARX
2022,6,12,KIND
2023,7,29,KJGX
2022,7,20,TIAD
2022,3,9,KSHV
2023,2,12,KLRX
2022,12,6,KOAX
2022,12,2,KABR
2022,1,12,KNQA
2022,2,22,TADW
2023,11,30,KNKX
2022,1,31,KHTX
2023,5,28,TATL
2023,6,14,KDGX
2023,4,3,KMHX
2023,1,3,KLRX
2022,4,21,TMCO
2023,9,31,KHGX
2022,8,19,KEMX
2022,10,17,PGUA
2023,7,3,LPLA
2022,6,1,TJFK
2023,5,29,KAMX
2022,7,6,KEPZ
2022,2,13,KENX
2023,5,3,PHKM
2022,5,4,KOAX
2022,8,14,TMCI
2023,10,15,KPBZ
2022,12,27,KLSX
2022,2,1,TLVE
2023,7,18,RKJK
2022,7,12,KRAX
2022,7,25,TPBI
2022,1,20,KDYX
2022,3,22,KMTX
2023,2,13,RODN
2022,4,28,TPIT
2022,3,25,KUDX
2022,10,7,TMIA
2023,2,26,LPLA
2023,7,20,KRGX
2022,2,30,KGSP
2023,8,24,KMXX
2023,6,1,KUEX
2022,12,29,KCCX
2022,5,2,KILX
2023,1,22,TRDU
2023,5,14,KPOE
2022,9,10,KEAX
2023,10,16,KYUX
2022,5,14,TMDW
2023,2,13,KMVX
2022,7,6,KMVX
2023,12,10,KDIX
2023,1,27,TORD
2022,11,24,KBOX
2022,6,15,TBOS
2023,2,5,KDFX
2022,11,11,KEWX
2023,2,11,KTFX
2023,6,21,KLOT
2023,6,13,KSGF
2022,12,20,KTLX
2023,7,21,TDAY
2023,8,31,TDAY
2023,1,25,KMAF
2022,1,12,KMLB
2022,1,11,KBOX
2022,7,5,KPAH
2022,6,27,KIND
2023,8,10,KEPZ
2022,9,1,KEOX
2022,10,6,KFSX
2023,6,18,TTPA
2022,7,27,KYUX
2022,1,16,KSRX
2022,8,13,KCBW
2023,1,30,KABX
2022,10,8,PAPD
2022,10,2,KARX
2022,11,16,KEYX
2023,3,6,KPBZ
2022,8,9,KARX
2023,12,8,KLRX
2023,1,15,KBHX
2022,6,26,KENX
2023,8,27,KOTX
2023,5,8,KUEX
2022,10,11,KBHX
2023,12,23,TOKC
2023,3,10,KESX
2022,12,28,KTBW
2022,1,29,KVAX
2022,3,17,KLRX
2023,11,20,RKSG
2023,3,30,KRLX
2022,7,11,TMSP
2023,10,8,TPBI
2023,10,27,KHDX
2022,3,30,KNQA
2023,12,14,KLOT
2023,12,31,KCLE
2022,2,13,KICT
2023,1,15,KYUX
2023,8,17,KNQA
2022,2,18,KGWX
2022,8,23,KENX
2023,7,19,KBOX
2022,11,20,TORD
2023,3,7,KHGX
2022,12,11,TTUL
2022,6,24,PHKI
2022,5,17,KLOT
2022,11,27,TMKE
2022,2,14,TCLT
2022,3,6,KPBZ
2023,5,18,KPAH
2023,3,4,KSRX
2022,4,9,KOUN
2022,7,1,PACG
2023,10,23,KJAX
2022,12,23,KBUF
2022,3,14,KCYS
2023,4,28,PHKI
2022,2,24,TDEN
2022,2,29,KLOT
2023,2,21,KDIX
2023,4,21,KSFX
2023,11,18,KBRO
2023,1,31,TPIT
2023,7,22,KCAE
2023,4,17,KEVX
2022,5,16,KARX
2022,8,23,PHWA
2023,3,1,KSJT
2022,8,29,KEOX
2022,4,3,KCYS
2022,1,12,KDDC
2022,10,2,KINX
2022,6,25,RKJK
2022,12,12,TICH
2022,6,25,KCBW
2023,9,12,KTBW
2022,1,4,TMSP
2023,12,28,KHDX
2023,10,19,KMXX
2022,7,25,TMDW
2022,10,11,KVWX
2022,12,29,KATX
2022,4,26,KGLD
2022,2,28,RKJK
2023,3,26,TDCA
2022,12,12,KLIX
2023,10,12,KVWX
2023,3,18,KFCX
2023,9,17,KFDR
2023,3,4,KFTG
2023,3,27,KBLX
2022,4,6,TPIT
2022,11,25,KOTX
2022,4,7,TDAY
2023,12,21,KFSX
2022,12,26,TTPA
2023,9,26,TMSY
2023,5,22,KTYX
2023,11,22,KHDX
2022,9,21,TIAH
2023,12,7,KGLD
2023,3,6,PAPD
2023,8,30,TBNA
2023,7,30,KCYS
2023,6,16,KGJX
2023,4,26,TCVG
2023,10,2,KFWS
2022,3,23,KHGX
2023,4,6,KTBW
2023,8,21,KTYX
2023,12,22,KDTX
2023,12,31,TLVE
2022,5,15,KBOX
2022,6,21,KICT
2023,8,12,TCLT
2023,5,18,KMVX
2023,7,4,KMAF
2022,6,7,KCBX
2022,7,18,KFTG
2023,12,30,KVWX
2022,3,17,TADW
2023,7,11,KVWX
2022,6,31,KEYX
2023,9,6,KNKX
2022,3,28,KBYX
2022,5,23,KHPX
2023,7,3,KUDX
2022,11,1,PHKI
2023,1,4,KENX
2023,3,26,KRTX
2022,11,28,KIND
2023,8,3,KDDC
2023,10,10,KILX
2022,9,13,KMOB
2022,8,22,KCRP
2022,1,12,KHNX
2022,7,19,KPUX
2023,9,21,KUEX
2023,12,20,KJAX
2023,9,27,KCRI
2022,10,5,KDGX
2023,8,7,KMKX
2022,8,18,KEAX
2022,1,6,KFDR
2023,2,18,KICX
2022,12,4,KSJT
2023,9,13,TJRV
2023,8,15,TLAS
2023,1,26,KRTX
2023,6,14,TRDU
2022,8,5,KBYX
2022,1,8,KBLX
2023,10,24,TBOS
2022,12,19,KPDT
2023,2,31,KNKX
2022,8,31,KMAF
2023,7,18,KDDC
2022,9,8,TTPA
2022,12,20,KSRX
2022,11,3,KFDX
2023,3,25,PAPD
2023,4,9,TMSP
2023,10,20,PACG
2023,10,17,TDAY
2023,9,29,KDLH
2022,2,26,TJBQ
2022,3,5,KMAF
2023,10,23,KLGX
2022,4,14,TMEM
2022,3,15,TADW
2022,12,26,TTPA
2023,1,10,KGWX
2022,4,12,KUEX
2022,2,6,KJGX
2023,5,30,KGRB
2023,2,22,KFWS
2022,10,13,KARX
2023,1,14,KRLX
2023,4,4,KDTX
2022,3,6,KMQT
2022,6,29,KMTX
2022,1,25,KGLD
2023,4,11,KESX
2023,8,17,KEYX
2022,8,21,KEOX
2022,11,20,KENX
2023,4,28,KAKQ
2022,4,10,KVNX
2022,1,26,KEYX
2023,4,15,KDMX
2023,12,18,TIDS
2023,3,27,KBRO
2022,10,18,KUDX
2022,1,2,KCBX
2023,7,31,KGSP
2023,2,16,KRGX
2023,2,15,KLRX
2023,12,22,KHTX
2022,11,4,TCVG
2022,2,12,PACG
2023,6,24,KLRX
2023,3,14,TMSY
2023,2,13,TTUL
2023,1,24,TPBI
2023,10,13,KIND
2023,9,12,KCBX
2022,11,17,KLGX
2023,4,4,TDCA
2022,1,7,KBGM
2022,1,12,KATX
2023,8,26,KENX
2023,3,3,TMCO
2023,4,11,KILX
2023,5,19,KGWX
2023,12,9,KARX
2022,8,7,KTLX
2022,10,19,RKSG
2023,9,7,KLCH
2023,2,20,KJKL
2022,5,26,TMCI
2023,5,5,PABC
2022,4,19,KJKL
2022,4,9,TBWI
2023,1,4,RKSG
2022,2,23,KTFX
2022,8,27,KTFX
2023,1,22,TCVG
2022,5,11,KMAX
2023,10,24,KTWX
2022,8,13,KJAX
2022,11,19,KBHX
2022,4,8,KBHX
2022,6,20,KFFC
2022,10,13,KEYX
2023,9,22,KESX
2022,6,21,PGUA
2023,9,8,TBOS
2022,11,1,TTPA
2023,11,28,KMKX
2023,8,22,KICT
2023,2,18,KLWX
2023,11,24,KTWX
2023,2,11,KSHV
2023,3,15,TIAD
2023,10,11,KICT
2022,1,27,LPLA
2022,4,24,TSDF
2022,6,13,KESX
2023,11,4,PAPD
2022,8,26,TMCI
2023,4,20,TPIT
2022,3,1,KLWX
2023,8,11,TCLT
2022,3,17,KNKX
2023,1,31,PAIH
2023,12,12,KMBX
2023,10,11,KILN
2023,10,10,TATL
2023,1,26,KAMA
2022,6,14,RODN
2023,11,2,TFLL
2023,11,30,KDGX
2022,11,3,TJUA
2023,9,14,KABX
2022,4,6,PAIH
2023,4,4,KGLD
2023,3,14,KMQT
2023,3,12,KLWX
2022,8,22,TADW
2022,10,10,TMEM
2022,7,8,TMKE
2022,3,21,KVTX
2022,4,6,KAMA
2023,10,1,KDFX
2023,9,4,KVTX
2022,1,11,KGGW
2022,10,11,KDTX
2023,12,5,KVNX
2022,9,20,KTYX
2023,12,22,KFTG
2023,7,13,KAKQ
2023,6,1,TLVE
2022,6,1,KFFC
2023,4,23,TMSP
2023,3,27,KCAE
2023,10,20,KFSX
2023,10,26,KICT
2023,12,9,TJRV
2023,1,19,LPLA
2023,10,15,KYUX
2023,11,5,TMIA
2022,4,2,TOKC
2022,6,10,KATX
2023,2,4,KUDX
2022,9,3,KCAE
2022,3,12,KBRO
2022,10,10,RKSG
2022,9,7,KLGX
2022,8,7,TOKC
2022,11,14,KAKQ
2022,7,21,KPUX
2023,11,9,KLVX
2022,6,26,PACG
2022,4,2,KLGX
2023,9,8,KGRB
2022,12,5,KBLX
2022,5,17,TTUL
2022,11,7,KLGX
2023,9,28,TSLC
2023,6,22,KMLB
2022,7,26,KJGX
2023,11,24,KMKX
2023,11,21,KBRO
2023,9,16,KBHX
2022,8,24,TTPA
2023,6,19,TSJU
2022,7,17,KNQA
2023,11,10,TJRV
2023,2,31,TLAS
2022,7,5,KPBZ
2023,3,22,KGGW
2022,12,2,KAMX
2022,11,23,KOUN
2022,1,28,LPLA
2022,3,15,KBIS
2023,3,30,KGRB
2022,8,30,KIND
2023,11,27,KRAX
2022,12,20,KCCX
2023,9,14,THOU
2022,1,11,PAHG
2023,2,2,TLVE
2022,12,7,KPDT
2022,8,30,KOAX
2022,8,5,KTLX
2022,9,4,KAPX
2023,8,14,KFTG
2022,9,31,TDTW
2023,4,12,KPUX
2022,1,25,PABC
2023,8,25,KESX
2022,5,21,KTBW
2022,1,5,TIAH
2023,8,10,KJAX
2022,7,19,KMVX
2023,8,19,KYUX
2022,6,29,KLVX
2023,8,11,KDMX
2022,9,28,TOKC
2023,1,12,KABR
2023,10,21,KPDT
2023,4,23,THOU
2022,2,12,KTFX
2022,1,29,TMCO
2022,6,17,KSHV
2023,7,4,PAEC
2023,2,3,TIDS
2022,1,29,KLGX
2022,6,28,KTFX
2022,5,10,KCLE
2023,2,25,KDDC
2023,8,5,KDYX
2023,1,15,KMHX
2023,12,5,KAKQ
2022,10,10,KGLD
2023,12,17,RODN
2023,2,4,KDIX
2022,8,27,KIWX
2022,1,22,KILN
2022,1,27,PAHG
2023,7,28,KENX
2023,8,22,KFCX
2022,4,3,KBIS
2023,10,5,KFCX
2022,6,5,TPHX
2023,12,30,KSJT
2023,1,22,KUDX
2022,7,30,PAKC
2023,2,14,KOHX
2023,8,22,KMBX
2023,10,11,KMKX
2022,12,22,TDTW
2022,11,27,KAMX
2022,10,27,KVTX
2023,4,1,TICH
2023,2,15,KLGX
2022,7,7,KHDX
2023,12,21,KDVN
2023,12,16,KBYX
2022,5,10,KLCH
2022,4,14,TIDS
2022,4,18,TPBI
2022,5,4,TIDS
2022,5,17,KRIW
2023,11,1,TMSY
2023,7,2,KBOX
2023,9,14,KJAX
2022,2,8,KTLH
2023,9,5,KTBW
2023,9,20,TOKC
2023,6,3,KCXX
2023,9,4,KOHX
2022,9,10,TCVG
2023,11,29,KEPZ
2023,3,9,KEYX
2023,8,15,KICX
2023,3,26,KRAX
2023,7,8,KICT
2023,12,20,KESX
2023,4,27,PGUA
2022,5,7,KEPZ
2022,1,11,KUDX
2023,9,20,PAEC
2022,8,12,KSHV
2023,12,8,KLRX
2023,12,18,TIAH
2023,10,15,KHDX
2023,2,14,KEWX
2023,11,26,KDIX
2022,12,31,KPBZ
2023,12,6,KILX
2023,7,4,TPHX
2023,10,7,TMCI
2023,2,8,KBIS
2022,7,1,KBIS
2022,11,26,KEYX
2022,7,9,KILN
2023,10,29,TPHL
2023,4,6,KDAX
2022,10,24,TIAD
2023,1,9,KMLB
2023,2,5,KUEX
2023,1,13,KBUF
2022,4,12,KICX
2023,5,5,PABC
2022,3,11,KARX
2022,2,4,KDIX
2022,1,13,TCLT
2022,7,15,KMTX
2022,12,20,PABC
2023,9,18,KAKQ
2022,8,15,KJKL
2022,6,6,TPIT
2022,4,9,KHPX
2023,6,7,TSTL
2022,9,20,KLWX
2022,11,5,KDDC
2022,3,11,TIDS
2022,12,8,KOUN
2022,3,30,KDFX
2023,9,3,KOAX
2023,3,21,PHKM
2022,9,5,KESX
2022,4,17,KLWX
2022,3,7,KFWS
2022,8,1,KLSX
2022,1,17,KFSD
2022,3,3,KPAH
2023,3,17,KEWX
2023,3,25,KHNX
2023,5,1,KFTG
2023,4,9,KSFX
2022,6,6,KLCH
2023,9,30,KIWX
2023,3,12,KAPX
2023,2,27,RODN
2023,9,11,KGSP
2022,7,29,KLBB
2022,7,9,TDAY
2022,7,15,PACG
2023,12,30,TIAH
2022,9,15,KMAF
2022,3,28,TIAD
2023,11,27,KHNX
2023,8,30,KLZK
2022,1,3,KSJT
2022,6,16,PHKM
2023,1,17,KMTX
2022,2,29,KCRI
2022,5,19,TCVG
2022,6,12,KMLB
2022,5,11,KATX
2022,9,12,TSDF
2022,8,20,KMLB
2022,7,18,KGRK
2022,7,28,KMSX
2022,7,18,KDTX
2022,4,30,TJRV
2023,5,10,PHMO
2023,7,18,KFFC
2023,11,13,KGSP
2022,3,14,KCRP
2023,4,21,TJBQ
2023,9,28,KPBZ
2023,1,24,KIND
2023,2,13,KARX
2022,11,25,TPBI
2022,9,29,KEPZ
2022,4,6,KGRR
2022,8,26,KCBW
2022,11,29,KOTX
2022,2,19,KMAX
2022,11,22,KABR
2023,4,26,TMCO
2022,11,19,TDCA
2022,11,10,TCMH
2022,4,31,KPOE
2023,4,9,TMCI
2022,10,1,KICX
2023,4,21,TCVG
2023,1,25,KVNX
2022,10,23,KGRK
2023,5,22,RODN
2023,12,4,KGRB
2022,7,15,TSDF
2022,8,5,KBYX
2023,4,24,KDYX
2022,9,8,TCLT
2022,5,12,TMKE
2022,10,22,TORD
2022,3,9,KBOX
2022,9,2,TADW
2023,10,24,KGWX
2023,4,13,KOAX
2023,3,21,KEPZ
2022,4,9,KGLD
2023,7,25,KDLH
2023,3,15,TMEM
2023,8,1,KEYX
2022,9,3,KEYX
2022,4,2,KLNX
2023,7,14,KMHX
2022,2,19,TEWR
2023,2,24,KOTX
2022,11,11,TMCI
2023,5,8,KLIX
2022,7,21,KGLD
2022,10,14,TCLT
2023,5,5,TMDW
2022,9,20,KJGX
2022,6,29,KLGX
2022,9,2,KILN
2022,1,17,KOUN
2022,5,2,KEYX
2022,8,8,PAIH
2022,3,30,KJKL
2022,3,5,KFSD
2022,10,1,KESX
2023,2,17,TCMH
2023,11,1,TJFK
2023,7,26,KOKX
2023,7,5,KSHV
2023,9,14,PHMO
2022,4,11,KJAX
2023,10,2,KICX
2023,9,30,TJBQ
2022,4,5,PHMO
2022,6,19,KVTX
2022,7,6,KLOT
2023,1,24,KVBX
2023,9,10,KFSD
2023,12,21,KENX
2022,5,28,TCLT
2022,4,1,KIWX
2023,7,6,KRGX
2022,12,5,KATX
2022,8,25,KHTX
2022,7,21,KPAH
2022,3,30,KMVX
2022,4,22,KAMA
2022,6,12,PABC
2022,2,13,KHDX
2022,12,20,KMBX
2023,8,19,KMBX
2022,9,23,TTUL
2023,7,19,KCBW
2022,1,5,KGYX
2023,6,22,KBMX
2022,12,24,TJFK
2022,7,10,KCCX
2023,7,21,KCRI
2023,9,14,TCMH
2023,12,26,RODN
2022,1,13,KABR
2023,1,13,KBYX
2022,1,10,KRIW
2022,2,27,KDYX
2023,8,4,TICH
2023,7,12,KCYS
2022,8,15,KSJT
2022,6,30,KRIW
2023,7,9,KLRX
2022,10,12,KIWA
2022,10,24,KRAX
2022,2,11,KLVX
2023,7,20,KMPX
2022,4,30,TMSY
2023,4,16,KDFX
2023,1,7,KUEX
2023,6,1,KUEX
2022,1,17,KDDC
2022,8,27,KCBW
2023,8,15,KCBX
2022,12,14,KBBX
2022,9,1,KEMX
2023,6,2,TMEM
2023,1,13,KFCX
2022,2,6,KRAX
2023,9,14,KSRX
2023,1,13,KEOX
2022,6,2,KTLH
2022,10,2,KOKX
2022,10,18,KEWX
2023,8,26,TJFK
2022,5,13,KIWX
2023,3,2,KCBW
2022,7,27,KCBW
2022,5,12,KEWX
2023,4,1,KEWX
2023,5,5,TIAD
2023,10,6,TICH
2022,12,12,KMKX
2022,3,6,KEYX
2023,3,9,KVAX
2023,5,23,KENX
2022,6,6,KGRB
2023,11,10,KNKX
2023,11,15,KILN
2022,3,16,KMXX
2023,9,8,KTWX
2022,11,22,KICT
2023,9,7,TIAH
2023,2,30,KHPX
2022,4,25,KFSX
2023,5,30,PABC
2022,9,17,TFLL
2022,4,31,TMSY
2022,11,28,KPOE
2023,5,30,KMOB
2023,1,10,KDYX
2023,12,8,KMSX
2023,2,17,TMSY
2022,4,15,KSHV
2022,12,31,KDLH
2023,10,8,KDLH
2023,7,17,TOKC
2022,6,13,TMSY
2022,6,18,KFWS
2023,8,24,PACG
2022,3,28,KFCX
2022,5,26,KOUN
2023,4,24,KBHX
2023,6,26,KEWX
2023,6,15,KIND
2022,2,14,PACG
2023,12,11,KLVX
2023,4,4,KEMX
2023,8,29,KICX
2023,7,19,KILN
2022,4,18,KTLX
2023,10,21,KILN
2023,12,27,KOAX
2022,10,25,TMKE
2023,6,4,KRLX
2022,7,25,TDFW
2023,11,25,KLBB
2022,1,21,KBRO
2022,6,14,KFCX
2022,4,22,KRLX
2022,8,15,KMTX
2023,3,25,TCMH
2023,9,6,TICH
2022,6,23,KRTX
2022,3,25,PHKI
2022,4,28,TSDF
2022,4,11,KCBW
2023,5,20,PHKI
2023,2,30,KSGF
2022,5,27,TSLC
2023,6,23,KMUX
2022,9,31,TMIA
2023,7,27,KHTX
2022,4,10,KCLE
2023,12,19,KBOX
2022,10,2,KLVX
2022,12,12,KGWX
2023,12,31,KNKX
2023,6,11,RKSG
2022,7,11,KMBX
2022,3,2,PAPD
2022,5,27,KOKX
2023,10,31,KGGW
2023,2,16,KRLX
2022,2,8,KBHX
2023,9,30,KSHV
2022,3,29,TDAY
2023,9,31,KCCX
2023,6,5,KEPZ
2023,7,13,TTUL
2022,8,21,KMLB
2022,11,12,KLGX
2023,9,8,KLRX
2023,5,31,KRLX
2022,7,8,KEVX
2023,12,12,KRGX
2023,12,3,PACG
2022,12,25,KRAX
2023,2,16,KCBW
2023,1,20,KILN
2022,11,19,KTFX
2023,2,29,KOTX
2023,11,19,KDMX
2023,5,9,KBRO
2023,6,3,KLVX
2022,9,30,TDFW
2022,6,9,KHPX
2023,1,2,KBGM
2022,3,21,PHMO
2022,10,17,KCAE
2023,3,28,KMPX
2022,10,21,TIDS
2022,9,30,TADW
2022,10,8,KGJX
2023,12,25,KHGX
2022,11,7,KGYX
2022,5,10,TRDU
2022,7,29,TBWI
2023,12,14,TJUA
2022,3,13,KLSX
2022,2,27,KLSX
2022,5,11,KBUF
2022,1,30,KYUX
2022,4,15,KTBW
2023,4,21,KBIS
2022,4,21,KRGX
2023,8,13,KLOT
2023,4,8,KMRX
2023,8,12,PABC
2022,8,29,KAMX
2022,12,16,KBBX
2023,4,18,KDVN
2023,11,18,TMKE
2023,12,22,KOAX
2023,2,13,KCBX
2023,9,29,KLOT
2022,1,26,TLAS
2023,5,17,KFWS
2022,2,31,KHTX
2023,3,23,KMPX
2023,3,31,KBBX
2022,8,13,KGRB
2023,7,8,KGGW
2022,12,23,TBNA
2023,2,22,KLNX
2023,5,28,TMIA
2023,2,31,KMAX
2022,12,10,KLIX
2022,12,3,TMEM
2022,12,18,TBOS
2022,2,30,KOTX
2022,5,3,KDIX
2022,5,21,TMEM
2023,12,15,KLVX
